brand,model,stability,cushioning,terrain,stack_mm,drop_mm,weight_g,notes,link
Nike,Pegasus 41,neutral,medium,road,37,10,286,versatile daily trainer,https://runrepeat.com/nike-pegasus-41
Nike,Invincible 3,neutral,max,road,40,9,310,soft high-stack,https://runrepeat.com/nike-invincible-3
ASICS,Gel-Kayano 31,stability,high,road,40,10,303,support for overpronation,https://runrepeat.com/asics-gel-kayano-31
ASICS,Novablast 4,neutral,high,road,41,8,260,bouncy tempo/daily,https://runrepeat.com/asics-novablast-4
Hoka,Clifton 9,neutral,high,road,33,5,248,light cushioned cruiser,https://runrepeat.com/hoka-clifton-9
Hoka,Arahi 7,stability,medium,road,34,5,269,J-Frame guidance,https://runrepeat.com/hoka-arahi-7
Saucony,Ride 17,neutral,medium,road,36,8,280,balanced daily trainer,https://runrepeat.com/saucony-ride-17
Saucony,Guide 17,stability,high,road,38,6,286,stable cushioned,https://runrepeat.com/saucony-guide-17
Brooks,Ghost 16,neutral,medium,road,36,12,281,safe choice,https://runrepeat.com/brooks-ghost-16
Brooks,Adrenaline GTS 23,stability,medium,road,36,12,289,GuideRails support,https://runrepeat.com/brooks-adrenaline-gts-23
Nike,ZoomX Vaporfly 3,neutral,race,road,40,8,198,super shoe marathon,https://runrepeat.com/nike-zoomx-vaporfly-3
Salomon,Sense Ride 5,neutral,medium,trail,32,8,290,door-to-trail,https://runrepeat.com/salomon-sense-ride-5
Hoka,Speedgoat 5,neutral,high,trail,33,4,291,grippy technical trail,https://runrepeat.com/hoka-speedgoat-5
